topics,domain_normalized,domain,subscription_status,evidence_url,pricing_url,pricing_url_method,pricing_page_ok,dynamic_components,popup_overlay,detected_prices,wayback_available,wayback_url,wayback_page_ok,notes
243,malangterkini pikiran rakyat com,malangterkini.pikiran-rakyat.com,inaccessible,,,,,,,,,,,
243,malatyahaber com,malatyahaber.com,no subscription,https://malatyahaber.com,,,,,,,,,,
"215,126,140,243",malavida com,malavida.com,no subscription,https://malavida.com,,,,,,,,,,
"12,350",malayalam filmibeat com,malayalam.filmibeat.com,inaccessible,,,,,,,,,,,
243,malayalam oneindia com,malayalam.oneindia.com,inaccessible,,,,,,,,,,,
243,malayalamnewsdaily com,malayalamnewsdaily.com,no subscription,https://malayalamnewsdaily.com,,,,,,,,,,
243,malaymail com,malaymail.com,subscription,https://malaymail.com,https://www.malaymail.com/,fallback_homepage,yes,yes,yes,US$5,no,,no,likely JS-rendered content | possible modal or overlay UI
243,malaysiadateline com,malaysiadateline.com,no subscription,https://malaysiadateline.com,,,,,,,,,,
243,malaysiakini com,malaysiakini.com,no subscription,https://malaysiakini.com,,,,,,,,,,
"299,243",malservice aftonbladet se,malservice.aftonbladet.se,no subscription,https://malservice.aftonbladet.se,,,,,,,,,,
245,mamnewsa pl,mamnewsa.pl,inaccessible,,,,,,,,,,,
243,mamul am,mamul.am,inaccessible,,,,,,,,,,,
245,manado tribunnews com,manado.tribunnews.com,inaccessible,,,,,,,,,,,
"561,400",manager magazin de,manager-magazin.de,no subscription,https://manager-magazin.de,,,,,,,,,,
243,manalokam com,manalokam.com,no subscription,https://manalokam.com,,,,,,,,,,
243,manamnews com,manamnews.com,inaccessible,,,,,,,,,,,
243,manchestereveningnews co uk,manchestereveningnews.co.uk,no subscription,https://manchestereveningnews.co.uk,,,,,,,,,,
"325,299,243",mancity com,mancity.com,inaccessible,,,,,,,,,,,
243,mandiner hu,mandiner.hu,no subscription,https://mandiner.hu,,,,,,,,,,
"245,243",manilatimes net,manilatimes.net,subscription,https://www.manilatimes.net/subscribe,https://www.manilatimes.net/subscribe,common_path,yes,yes,yes,,no,,no,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
"363,243,1",manithan com,manithan.com,no subscription,https://manithan.com,,,,,,,,,,
"350,299,243",mannenzaken nl,mannenzaken.nl,no subscription,https://mannenzaken.nl,,,,,,,,,,
245,mannheim24 de,mannheim24.de,no subscription,https://mannheim24.de,,,,,,,,,,
"254,400",manofmany com,manofmany.com,subscription,https://manofmany.com,https://manofmany.com/subscription,common_path,yes,yes,yes,,no,,no,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
243,manoramanews com,manoramanews.com,no subscription,https://manoramanews.com,,,,,,,,,,
243,manoramaonline com,manoramaonline.com,no subscription,https://manoramaonline.com,,,,,,,,,,
350,mantan web jp,mantan-web.jp,no subscription,https://mantan-web.jp,,,,,,,,,,
"245,243",mantrasukabumi pikiran rakyat com,mantrasukabumi.pikiran-rakyat.com,inaccessible,,,,,,,,,,,
"299,325,243",manutd com,manutd.com,inaccessible,,,,,,,,,,,
243,mapy in pocasi cz,mapy.in-pocasi.cz,no subscription,https://mapy.in-pocasi.cz,,,,,,,,,,
"363,243",marathi abplive com,marathi.abplive.com,no subscription,https://marathi.abplive.com,,,,,,,,,,
243,marathisanhita com,marathisanhita.com,inaccessible,,,,,,,,,,,
"299,350,243",marca com,marca.com,no subscription,https://marca.com,,,,,,,,,,
247,marcusoscarsson se,marcusoscarsson.se,no subscription,https://marcusoscarsson.se,,,,,,,,,,
"363,1,243",mardinlife com,mardinlife.com,inaccessible,,,,,,,,,,,
"254,243",marefa org,marefa.org,no subscription,https://marefa.org,,,,,,,,,,
